ticker,name,dividend_value,cutoff_date,buy_before_date,payment_date,current_price,yield_percent
GMKN,ГМКНорНик,1.8500,2026-10-12,2026-10-09,2026-10-22,131.00,1.41
NVTK,Новатэк ао,35.5000,2026-10-12,2026-10-09,2026-10-22,1032.00,3.44
TATNP,Татнфт 3ап,32.8800,2026-10-13,2026-10-12,2026-10-23,594.40,5.53
SIBN,Газпрнефть,42.5100,2026-10-13,2026-10-12,2026-10-23,545.85,7.79
SBER,Сбербанк,37.6400,2026-07-20,2026-07-17,2026-07-30,283.32,13.29
DOMRF,ДОМ.РФ,246.8800,2026-07-20,2026-07-17,2026-07-30,2135.30,11.56
TRNFP,Транснф ап,204.1700,2026-07-20,2026-07-17,2026-07-30,1016.80,20.08
SNGSP,Сургнфгз-п,0.8500,2026-07-16,2026-07-15,2026-07-26,41.84,2.03
TATNP,Татнфт 3ап,11.6100,2026-07-15,2026-07-14,2026-07-25,594.40,1.95
PLZL,Полюс,29.0500,2026-07-13,2026-07-10,2026-07-23,1000.40,2.90
